,dem_id,tile,supertile,s3url,fileurl,fireid,UniqueID
0,58_45_2_2_2m_v4.1,58_45_2_2,58_45,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/58_45/58_45_2_2_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/58_45/58_45_2_2_2m_v4.1.tar.gz,16554,129258
1,58_26_1_2_2m_v4.1,58_26_1_2,58_26,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/58_26/58_26_1_2_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/58_26/58_26_1_2_2m_v4.1.tar.gz,25458,58956
2,58_26_1_2_2m_v4.1,58_26_1_2,58_26,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/58_26/58_26_1_2_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/58_26/58_26_1_2_2m_v4.1.tar.gz,24797,59249
3,58_26_2_2_2m_v4.1,58_26_2_2,58_26,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/58_26/58_26_2_2_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/58_26/58_26_2_2_2m_v4.1.tar.gz,20863,23800
4,58_26_2_2_2m_v4.1,58_26_2_2,58_26,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/58_26/58_26_2_2_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/58_26/58_26_2_2_2m_v4.1.tar.gz,33821,37601
5,58_26_2_2_2m_v4.1,58_26_2_2,58_26,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/58_26/58_26_2_2_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/58_26/58_26_2_2_2m_v4.1.tar.gz,28601,40017
6,58_26_2_2_2m_v4.1,58_26_2_2,58_26,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/58_26/58_26_2_2_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/58_26/58_26_2_2_2m_v4.1.tar.gz,15231,91363
7,58_26_2_2_2m_v4.1,58_26_2_2,58_26,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/58_26/58_26_2_2_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/58_26/58_26_2_2_2m_v4.1.tar.gz,15970,163325
8,61_24_1_2_2m_v4.1,61_24_1_2,61_24,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/61_24/61_24_1_2_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/61_24/61_24_1_2_2m_v4.1.tar.gz,20002,7752
9,61_24_1_2_2m_v4.1,61_24_1_2,61_24,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/61_24/61_24_1_2_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/61_24/61_24_1_2_2m_v4.1.tar.gz,17070,76597
10,61_24_1_2_2m_v4.1,61_24_1_2,61_24,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/61_24/61_24_1_2_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/61_24/61_24_1_2_2m_v4.1.tar.gz,12056,142854
11,61_24_1_1_2m_v4.1,61_24_1_1,61_24,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/61_24/61_24_1_1_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/61_24/61_24_1_1_2m_v4.1.tar.gz,14137,130418
12,61_24_2_1_2m_v4.1,61_24_2_1,61_24,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/61_24/61_24_2_1_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/61_24/61_24_2_1_2m_v4.1.tar.gz,18977,114824
13,61_24_2_1_2m_v4.1,61_24_2_1,61_24,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/61_24/61_24_2_1_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/61_24/61_24_2_1_2m_v4.1.tar.gz,14616,129710
14,60_30_2_1_2m_v4.1,60_30_2_1,60_30,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/60_30/60_30_2_1_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/60_30/60_30_2_1_2m_v4.1.tar.gz,18646,115387
15,60_30_2_2_2m_v4.1,60_30_2_2,60_30,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/60_30/60_30_2_2_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/60_30/60_30_2_2_2m_v4.1.tar.gz,14893,130126
16,62_33_1_2_2m_v4.1,62_33_1_2,62_33,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/62_33/62_33_1_2_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/62_33/62_33_1_2_2m_v4.1.tar.gz,16151,10303
17,58_27_2_1_2m_v4.1,58_27_2_1,58_27,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/58_27/58_27_2_1_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/58_27/58_27_2_1_2m_v4.1.tar.gz,22990,59838
18,58_27_2_2_2m_v4.1,58_27_2_2,58_27,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/58_27/58_27_2_2_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/58_27/58_27_2_2_2m_v4.1.tar.gz,25188,58886
19,58_27_2_2_2m_v4.1,58_27_2_2,58_27,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/58_27/58_27_2_2_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/58_27/58_27_2_2_2m_v4.1.tar.gz,25141,58953
20,58_27_1_1_2m_v4.1,58_27_1_1,58_27,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/58_27/58_27_1_1_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/58_27/58_27_1_1_2m_v4.1.tar.gz,24797,59249
21,62_21_1_1_2m_v4.1,62_21_1_1,62_21,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/62_21/62_21_1_1_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/62_21/62_21_1_1_2m_v4.1.tar.gz,14664,130195
