,descals_file,fireid,UniqueID
0,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,35913,150
1,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-14_v2-4.tif,31575,2443
2,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-14_v2-4.tif,31906,2567
3,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,20002,7752
4,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,20003,8387
5,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,20001,9091
6,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,17915,9520
7,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,17914,9912
8,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-33_v2-4.tif,16151,10303
9,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-34_v2-4.tif,16879,10409
10,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-15_v2-4.tif,24941,21526
11,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-12_v2-4.tif,22824,23151
12,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,22411,23517
13,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,20863,23800
14,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-12_v2-4.tif,15223,25999
15,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,33863,37245
16,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,33821,37601
17,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-35_v2-4.tif,29633,39351
18,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,28600,40016
19,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,28601,40017
20,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,28602,40018
21,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-13_v2-4.tif,34425,53574
22,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,28624,56789
23,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,25256,58699
24,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,25187,58885
25,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,25188,58886
26,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,25141,58953
27,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,25458,58956
28,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,25111,59076
29,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,24686,59143
30,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,25027,59144
31,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,25255,59146
32,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,24797,59249
33,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-35_v2-4.tif,24928,59344
34,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,24727,59412
35,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,22990,59838
36,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,23270,60118
37,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,77,70453
38,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,78,70454
39,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,79,70467
40,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,23633,73264
41,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,22467,73947
42,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,22469,73948
43,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,22318,74118
44,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,17473,75850
45,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,17065,76594
46,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,17070,76597
47,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,16765,76707
48,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,16202,76963
49,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,15732,77103
50,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,14160,78504
51,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,26423,85261
52,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-14_v2-4.tif,24037,86417
53,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,21461,87999
54,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-15_v2-4.tif,19977,89191
55,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,16497,90625
56,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,16372,90645
57,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,16432,90650
58,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,16175,90728
59,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,16176,90729
60,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,15541,90968
61,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,15231,91363
62,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-16_v2-4.tif,18631,101842
63,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-12_v2-4.tif,14377,103867
64,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-33_v2-4.tif,13864,104093
65,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-12_v2-4.tif,13996,104146
66,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-18_v2-4.tif,13905,104393
67,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-15_v2-4.tif,13720,104517
68,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-12_v2-4.tif,12943,104608
69,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-12_v2-4.tif,12868,104635
