,fireid,tst_year,tst_month,tst_day,tst_ampm,ted_year,ted_month,ted_day,ted_ampm,UniqueID,opt_UTM_tile,descals_file
0,23633,2016,9,7,AM,2016,9,9,AM,2794,59WMQ,Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif
1,22467,2016,8,16,PM,2016,8,17,PM,3477,60WVT,Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif
2,22469,2016,8,16,PM,2016,8,17,PM,3478,60WWT,Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif
3,22318,2016,8,14,AM,2016,8,14,AM,3648,60WWS,Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif
4,17473,2016,6,23,PM,2016,7,12,PM,5380,59WMT,Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif
5,17065,2016,6,19,PM,2016,6,19,PM,6124,60WVT,Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif
6,17070,2016,6,19,PM,2016,6,19,PM,6127,59WPP,Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif
7,16765,2016,6,15,PM,2016,6,17,PM,6237,60WVV,Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif
8,16202,2016,6,10,PM,2016,6,12,PM,6493,60WVS,Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif
9,15732,2016,6,5,PM,2016,6,8,PM,6633,60WWS,Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif
10,14160,2016,5,22,PM,2016,5,22,PM,8034,60WWS,Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif
11,26423,2017,11,2,PM,2017,11,2,PM,14791,59WMT,Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif
12,24037,2017,9,20,AM,2017,9,20,AM,15947,52WDE,Arctic_BA_Landsat78_2013-2020_tile-14_v2-4.tif
13,21461,2017,8,8,AM,2017,8,8,AM,17529,59WMQ,Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif
14,19977,2017,7,25,PM,2017,7,25,PM,18721,52WFD,Arctic_BA_Landsat78_2013-2020_tile-15_v2-4.tif
15,16497,2017,6,22,AM,2017,6,22,AM,20155,60WVT,Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif
16,16372,2017,6,21,AM,2017,6,21,PM,20175,60WVS,Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif
17,16432,2017,6,21,PM,2017,6,21,PM,20180,60WVT,Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif
18,16175,2017,6,19,PM,2017,6,19,PM,20258,59WPM,Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif
